match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ARDWon,ARDLost,ARDWon%
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Egzon Bejtulai,2.0,"WB,CM",27-157,28,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,100.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Visar Musliu,6.0,CB,26-212,85,0,0,0,2,0,0,0,2,0,0,0,0,8,3,1,75.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Milan Ristovski,26.0,FW,23-066,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Darko Velkovski,14.0,CB,25-357,90,0,0,0,2,1,0,0,2,3,0,0,0,8,2,1,66.7
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Stefan Ristovski,13.0,"CB,RB",29-121,90,0,0,0,3,1,0,0,3,2,0,0,0,6,1,4,20.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Stole Dimitrievski,1.0,GK,27-170,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,15 Players,,,,990,2,0,0,18,14,0,3,12,13,0,0,0,74,16,16,50.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Kieffer Moore,13.0,FW,28-322,77,1,0,0,1,3,0,0,1,0,0,0,0,4,8,7,53.3
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Tyler Roberts,9.0,FW,22-165,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Daniel James,20.0,"LW,RW",23-228,77,0,0,0,0,0,0,2,1,1,0,0,0,6,0,3,0.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,David Brooks,19.0,LW,23-353,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Gareth Bale,11.0,"RW,LW",31-345,90,1,0,0,2,0,0,6,0,0,0,0,0,2,0,1,0.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Aaron Ramsey,10.0,AM,30-182,90,0,0,0,1,3,0,2,1,2,0,0,0,5,1,3,25.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Joe Allen,7.0,DM,31-104,90,0,0,0,2,0,0,0,3,1,0,0,0,8,1,3,25.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Joe Morrell,16.0,DM,24-174,59,0,0,0,1,1,0,0,1,3,0,0,0,2,0,2,0.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Harry Wilson,8.0,DM,24-096,30,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Ben Davies,4.0,LB,28-063,90,0,0,0,1,1,0,1,1,1,0,0,0,3,1,1,50.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Joe Rodon,6.0,CB,23-247,90,1,0,0,1,0,0,0,3,0,0,0,0,6,3,1,75.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Chris Mepham,22.0,CB,23-233,90,0,0,0,2,0,0,0,1,1,0,0,0,5,5,1,83.3
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Connor Roberts,14.0,RB,25-276,39,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
