match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Att,PTLive,PTDead,PTFK,PTTB,PTPress,PTSw,PTCrs,PTCK,CKIn,CKOut,CKStr,Ground,Low,High,BPLeft,BPRight,BPHead,BPTI,BPOther,OutcomeCmp,OutcomeOff,OutcomeOut,OutcomeInt,OutcomeBlocks
14874531,"Saturday June 19, 2021",21:00,Spain,a,Robert Lewandowski,9.0,FW,32-302,90,20,20,0,0,0,7,2,3,0,0,0,0,9,3,8,2,12,3,0,0,9,0,3,1,1
14874531,"Saturday June 19, 2021",21:00,Spain,a,Karol Świderski,11.0,"FW,RW",24-147,67,6,6,0,0,0,2,1,0,0,0,0,0,2,3,1,6,0,0,0,0,3,0,0,0,0
14874531,"Saturday June 19, 2021",21:00,Spain,a,Przemysław Frankowski,19.0,RW,26-068,23,3,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,3,0,0,0,2,0,0,0,1
14874531,"Saturday June 19, 2021",21:00,Spain,a,Jakub Moder,16.0,"CM,DM",22-073,84,19,15,4,3,0,5,2,0,1,0,0,1,9,1,9,2,16,0,0,1,11,0,0,1,1
14874531,"Saturday June 19, 2021",21:00,Spain,a,Karol Linetty,8.0,DM,26-137,6,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
14874531,"Saturday June 19, 2021",21:00,Spain,a,Mateusz Klich,14.0,CM,31-006,54,22,19,3,3,0,5,0,0,0,0,0,0,15,5,2,3,18,1,0,0,15,0,1,0,3
14874531,"Saturday June 19, 2021",21:00,Spain,a,Kacper Kozłowski,6.0,"LW,CM",17-246,36,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1
14874531,"Saturday June 19, 2021",21:00,Spain,a,Piotr Zieliński,20.0,DM,27-030,90,30,26,4,1,0,8,1,1,0,0,0,0,15,7,8,6,18,3,1,0,21,1,0,0,1
14874531,"Saturday June 19, 2021",21:00,Spain,a,Tymoteusz Puchacz,26.0,WB,22-147,90,20,15,5,1,0,6,1,1,0,0,0,0,9,2,9,16,0,0,4,0,10,1,0,3,1
14874531,"Saturday June 19, 2021",21:00,Spain,a,Kamil Jóźwiak,21.0,WB,23-058,90,29,20,9,0,0,8,0,1,0,0,0,0,13,11,5,0,19,1,9,0,22,0,0,2,3
14874531,"Saturday June 19, 2021",21:00,Spain,a,Jan Bednarek,5.0,CB,25-068,84,12,10,2,2,0,4,0,0,0,0,0,0,8,1,3,1,9,2,0,0,9,0,1,0,0
14874531,"Saturday June 19, 2021",21:00,Spain,a,Paweł Dawidowicz,3.0,CB,26-030,6,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0
14874531,"Saturday June 19, 2021",21:00,Spain,a,Kamil Glik,15.0,CB,33-136,90,13,12,1,1,0,5,0,0,0,0,0,0,10,0,3,0,13,0,0,0,10,0,0,0,0
14874531,"Saturday June 19, 2021",21:00,Spain,a,Bartosz Bereszyński,18.0,CB,28-342,90,32,28,4,0,0,9,0,0,0,0,0,0,14,4,14,3,23,1,4,0,18,0,1,3,2
